-1,*Missing*,-1,*,-1,-1,*Missing*,*Missing*,*Missing*,*Missing*,*Missing*,-1
575,"(575) Grand Junction, CO",19,Y,NULL,1,Mountain Standard Time,GRJ,4,Continental, Grand Junction,4568
644,"(644) Phoenix, AZ",22,Y,NULL,1,Mountain Standard Time,PHO,5,Pacific, Phoenix,4702
542,"(542) Coatesville, PA",4,Y,NULL,4,Eastern Standard Time,COA,1,North Atlantic, Coatesville,4737
544,"(544) Columbia, SC",7,Y,NULL,3,Eastern Standard Time,CMS,2,Southeast, Columbia,4820
757,"(757) Columbus, OH",10,Y,NULL,3,Eastern Standard Time,COS,3,Midwest, Columbus,4904
552,"(552) Dayton, OH",10,Y,NULL,3,Eastern Standard Time,DAY,3,Midwest, Dayton,4963
553,"(553) Detroit, MI",10,Y,NULL,3,Eastern Standard Time,DET,3,Midwest, Detroit,5086
557,"(557) Dublin, GA",7,Y,NULL,3,Eastern Standard Time,DUB,2,Southeast, Dublin,5115
558,"(558) Durham, NC",6,Y,NULL,3,Eastern Standard Time,DUR,1,North Atlantic, Durham,5243
549,(549) North Texas HCS (Dallas TX),17,Y,NULL,2,Central Standard Time,NTX,4,Continental, Dallas,5253
550,(550) Illiana HCS (Danville IL),12,Y,NULL,3,Central Standard Time,DAN,3,Midwest, Danville,5368
756,"(756) El Paso, TX",17,Y,NULL,1,Mountain Standard Time,ELP,4,Continental, El Paso,5420
437,"(437) Fargo, ND (CACHE 5.0)",23,Y,NULL,2,Central Standard Time,FAR,3,MidWest, Fargo,5537
564,"(564) Fayetteville, AR",16,Y,NULL,2,Central Standard Time,FAV,4,Continental, Fayetteville,5624
578,"(578) Hines, IL",12,Y,NULL,2,Central Standard Time,HIN,3,Midwest, Chicago,5702
658,"(658) Salem, VA",6,Y,NULL,3,Eastern Standard Time,SAM,1,North Atlantic, Salem,5748
660,(660) Salt Lake City HCS (Salt Lake City UT),19,Y,NULL,1,Mountain Standard Time,SLC,4,Continental, Salt Lake City,5787
666,"(666) Sheridan, WY",19,Y,NULL,1,Mountain Standard Time,SHE,4,Continental, Sheridan,5892
678,(678) Southern Arizona HCS (Tucson AZ),22,Y,NULL,1,Mountain Standard Time,TUC,5,Pacific, Tucson,6002
612,(612) Northern California HCS (Martinez CA),21,Y,NULL,1,Pacific Standard Time,MAC,5,Pacific, Mather,6085
640,(640) Palo Alto HCS (Palo Alto CA),21,Y,NULL,1,Pacific Standard Time,PAL,5,Pacific, Palo Alto,6175
648,"(648) Portland, OR  (CACHE 5.0)",20,Y,NULL,1,Pacific Standard Time,POR,5,Pacific, Portland,6276
562,"(562) Erie, PA",4,Y,NULL,4,Eastern Standard Time,ERI,1,North Atlantic, Erie,6336
565,"(565) Fayetteville, NC",6,Y,NULL,3,Eastern Standard Time,FNC,1,North Atlantic, Fayetteville,6448
573,(573) N. Florida/S. Georgia HCS (Gainesville FL),8,Y,NULL,3,Eastern Standard Time,NFL,2,Southeast, Gainesville,6555
590,"(590) Hampton, VA",6,Y,NULL,3,Eastern Standard Time,HAM,1,North Atlantic, Hampton,6600
581,"(581) Huntington, WV",5,Y,NULL,3,Eastern Standard Time,HUN,1,North Atlantic, Huntington,6681
583,"(583) Indianapolis, IN",10,Y,NULL,3,Eastern Standard Time,IND,3,Midwest, Indianapolis,6801
659,"(659) Salisbury, NC",6,Y,NULL,3,Eastern Standard Time,SBY,1,North Atlantic, Salisbury,6889
672,"(672) San Juan, PR",8,Y,NULL,3,Eastern Standard Time,SAJ,2,Southeast, San Juan,6951
673,"(673) Tampa, FL",8,Y,NULL,3,Eastern Standard Time,TAM,2,Southeast, Tampa,7087
402,(402) Togus ME,1,Y,NULL,4,Eastern Standard Time,TOG,1,North Atlantic, Togus,7164
688,(688) Washington DC,5,Y,NULL,4,Eastern Standard Time,WAS,1,North Atlantic, Washington,7262
663,(663) Puget Sound HCS (Seattle WA) (CACHE 5.0),20,Y,NULL,1,Pacific Standard Time,PUG,5,Pacific, Seattle,7394
654,(654) Sierra Nevada HCS (Reno NV),21,Y,NULL,1,Pacific Standard Time,REN,5,Pacific, Reno,7493
653,(653) Roseburg HCS (Roseburg OR),20,Y,NULL,1,Pacific Standard Time,ROS,5,Pacific, Roseburg,7556
664,(664) San Diego HCS (San Diego CA),22,Y,NULL,1,Pacific Standard Time,SDC,5,Pacific, San Diego,7690
662,"(662) San Francisco, CA",21,Y,NULL,1,Pacific Standard Time,SFC,5,Pacific, San Francisco,7831
585,"(585) Iron Mountain, MI",12,Y,NULL,2,Central Standard Time,IRO,3,Midwest,Iron Mountain,7923
595,"(595) Lebanon, PA",4,Y,NULL,4,Eastern Standard Time,LEB,1,North Atlantic, Lebanon,7992
596,"(596) Lexington, KY",9,Y,NULL,3,Eastern Standard Time,LEX,2,Southeast, Lexington,8115
603,"(603) Louisville, KY",9,Y,NULL,3,Eastern Standard Time,LOU,2,Southeast, Louisville,8210
613,"(613) Martinsburg, WV",5,Y,NULL,4,Eastern Standard Time,MWV,1,North Atlantic, Martinsburg,8269
